Stash list for short evaluation tests (18 months runs to compare different configurations),,,,,,,,,,,
,,,,,,,,,,,
SINGLE LEVEL VARIABLES ,ISEC,ITEM,STASH,TYPE,FREQUENCY,TIME PROFILE,DOM PROFILE,USE,PACKAGE,STREAM,FILE
HEAVYSIDE FN ON P LEV/UV GRID,30,301,m01s30i301,Instant.,6 hourly,T6HINST,DP34,UPF,3D ERA5 Diagnostics,pp5,am3a.pf%Y%m%d.nc
,,,,,,,,,,,
U COMPNT OF WIND AFTER TIMESTEP,0,2,m01s00i002,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
V COMPNT OF WIND AFTER TIMESTEP,0,3,m01s00i003,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
THETA AFTER TIMESTEP,0,4,m01s00i004,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
SPECIFIC HUMIDITY AFTER TIMESTEP,0,10,m01s00i010,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
QCF AFTER TIMESTEP,0,12,m01s00i012,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
W COMPNT OF WIND AFTER TIMESTEP,0,150,m01s00i150,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
QCL AFTER TIMESTEP,0,254,m01s00i254,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
PRESSURE AT THETA LEVELS AFTER TS,0,408,m01s00i408,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
TEMPERATURE ON THETA LEVELS,16,4,m01s16i004,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
GEOPOTENTIAL HEIGHT ON THETA LEVELS,16,201,m01s16i201 ,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
CLOUD DROP NUMBER CONC. /m3,4,210,m01s04i210,Instant.,6 hourly,T6HINST,DALLTH,UPG,3D Standard Diagnostics,pp6,am3a.pg%Y%m%d.nc
,,,,,,,,,,,
U COMPNT OF WIND ON P LEV/UV GRID,30,201,m01s30i201,mean,month,TMONMN,DP34,UPH,3D ERA5 Diagnostics,pp7,am3a.ph%Y%b.nc
V COMPNT OF WIND ON P LEV/UV GRID,30,202,m01s30i202,mean,month,TMONMN,DP34,UPH,3D ERA5 Diagnostics,pp7,am3a.ph%Y%b.nc
W COMPNT OF WIND ON P LEV/UV GRID,30,203,m01s30i203,mean,month,TMONMN,DP34,UPH,3D ERA5 Diagnostics,pp7,am3a.ph%Y%b.nc
TEMPERATURE ON P LEV/UV GRID,30,204,m01s30i204,mean,month,TMONMN,DP34,UPH,3D ERA5 Diagnostics,pp7,am3a.ph%Y%b.nc
SPECIFIC HUMIDITY ON P LEV/UV GRID,30,205,m01s30i205,mean,month,TMONMN,DP34,UPH,3D ERA5 Diagnostics,pp7,am3a.ph%Y%b.nc
RELATIVE HUMIDITY ON P LEV/UV GRID,30,206,m01s30i206,mean,month,TMONMN,DP34,UPH,3D ERA5 Diagnostics,pp7,am3a.ph%Y%b.nc
GEOPOTENTIAL HEIGHT ON P LEV/UV GRID,30,207,m01s30i207,mean,month,TMONMN,DP34,UPH,3D ERA5 Diagnostics,pp7,am3a.ph%Y%b.nc
HEAVYSIDE FN ON P LEV/UV GRID,30,301,m01s30i301,mean,month,TMONMN,DP34,UPH,3D ERA5 Diagnostics,pp7,am3a.ph%Y%b.nc
U COMPNT OF WIND AFTER TIMESTEP,0,2,m01s00i002,mean,month,TMONMN,DALLTH,UPI,3D Standard Diagnostics,pp8,am3a.pi%Y%b.nc
V COMPNT OF WIND AFTER TIMESTEP,0,3,m01s00i003,mean,month,TMONMN,DALLTH,UPI,3D Standard Diagnostics,pp8,am3a.pi%Y%b.nc
THETA AFTER TIMESTEP,0,4,m01s00i004,mean,month,TMONMN,DALLTH,UPI,3D Standard Diagnostics,pp8,am3a.pi%Y%b.nc
SPECIFIC HUMIDITY AFTER TIMESTEP,0,10,m01s00i010,mean,month,TMONMN,DALLTH,UPI,3D Standard Diagnostics,pp8,am3a.pi%Y%b.nc
QCF AFTER TIMESTEP,0,12,m01s00i012,mean,month,TMONMN,DALLTH,UPI,3D Standard Diagnostics,pp8,am3a.pi%Y%b.nc
W COMPNT OF WIND AFTER TIMESTEP,0,150,m01s00i150,mean,month,TMONMN,DALLTH,UPI,3D Standard Diagnostics,pp8,am3a.pi%Y%b.nc
